,Leave,CR
6.0,6.0,0.2028301886792453
20.0,20.0,0.2028301886792453
24.0,24.0,0.2028301886792453
36.0,36.0,0.2028301886792453
40.0,40.0,0.2028301886792453
44.0,44.0,0.2028301886792453
53.0,53.0,0.2028301886792453
54.0,54.0,0.2028301886792453
17.0,17.0,0.2028301886792453
