,_id,keywordId,adGroupId,campaignId,profileId,targeting,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,sales,campaignName,adGroupName,matchType,Unnamed: 0,CR,x_prior,x_post ,Date
0,6375cc3c60288c7c1181f9cb,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,8,0.0,0,0,0,0.0,2022-08-26,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
1,6375cc3c60288c7c1181f9d8,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,1,13,0.71,0,0,0,0.0,2022-09-04,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
2,6375cc3c60288c7c1181f9d9,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,8,0.0,0,0,0,0.0,2022-09-06,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
3,6375cc3c60288c7c1181f9cd,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,8,0.0,0,0,0,0.0,2022-08-28,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
4,6375cc3c60288c7c1181f9d2,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,1,12,0.71,0,0,0,0.0,2022-09-03,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
5,6375cc3c60288c7c1181f9d5,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,1,0.0,0,0,0,0.0,2022-09-08,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
6,6375cc3c60288c7c1181f9d1,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,4,0.0,0,0,0,0.0,2022-09-02,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
7,6375cc3c60288c7c1181f9c9,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,27,0.0,0,0,0,0.0,2022-08-23,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
8,6375cc3c60288c7c1181f9c6,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,1,10,0.71,0,0,0,0.0,2022-08-20,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
9,6375cc3c60288c7c1181f9d7,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,15,0.0,0,0,0,0.0,2022-08-31,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
10,6375cc3c60288c7c1181f9c8,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,7,0.0,0,0,0,0.0,2022-08-22,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
11,6375cc3c60288c7c1181f9c7,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,1,16,0.71,0,0,0,0.0,2022-08-21,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
12,6375cc3c60288c7c1181f9d0,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,7,0.0,0,0,0,0.0,2022-09-01,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
13,6375cc3c60288c7c1181f9d3,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,1,13,0.71,0,0,0,0.0,2022-09-05,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
14,6375cc3c60288c7c1181f9ce,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,5,0.0,0,0,0,0.0,2022-08-29,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
15,6375cc3c60288c7c1181f9c5,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,8,0.0,0,0,0,0.0,2022-08-19,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
16,6375cc3c60288c7c1181f9cf,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,8,0.0,0,0,0,0.0,2022-08-30,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
17,6375cc3c60288c7c1181f9cc,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,14,0.0,0,0,0,0.0,2022-08-27,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
18,6375cc3c60288c7c1181f9d6,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,15,0.0,0,0,0,0.0,2022-08-24,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
19,6375cc3c60288c7c1181f9ca,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,13,0.0,0,0,0,0.0,2022-08-25,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
20,6375cc3c60288c7c1181f9d4,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,2,0.0,0,0,0,0.0,2022-09-07,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
21,6375cc3c60288c7c1181fae7,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,0,0.0,0,0,0,0.0,2022-09-14,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
22,6375cc3c60288c7c1181fae4,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,1,0.0,0,0,0,0.0,2022-09-11,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
23,6375cc3c60288c7c1181fae6,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,0,0.0,0,0,0,0.0,2022-09-13,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
24,6375cc3c60288c7c1181fae2,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,1,0.0,0,0,0,0.0,2022-09-09,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
25,6375cc3c60288c7c1181fae5,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,3,0.0,0,0,0,0.0,2022-09-12,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
26,6375cc3c60288c7c1181fae3,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,3,0.0,0,0,0,0.0,2022-09-10,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
27,6375cc3c60288c7c1181faeb,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,0,0.0,0,0,0,0.0,2022-09-15,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
28,6375cc3c60288c7c1181faea,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,1,0.0,0,0,0,0.0,2022-09-18,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
29,6375cc3c60288c7c1181fb70,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,1,0.0,0,0,0,0.0,2022-09-21,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
30,6375cc3c60288c7c1181fb76,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,1,0.0,0,0,0,0.0,2022-09-19,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
31,6375cc3c60288c7c1181fb7f,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,4,0.0,0,0,0,0.0,2022-09-25,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
32,6375cc3c60288c7c1181fb81,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,1,4,1.15,0,0,0,0.0,2022-10-07,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
33,6375cc3c60288c7c1181fb77,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,3,0.0,0,0,0,0.0,2022-09-26,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
34,6375cc3c60288c7c1181fb75,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,3,0.0,0,0,0,0.0,2022-10-05,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
35,6375cc3c60288c7c1181fb73,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,2,0.0,0,0,0,0.0,2022-10-06,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
36,6375cc3c60288c7c1181fb7b,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,0,0.0,0,0,0,0.0,2022-09-20,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
37,6375cc3c60288c7c1181fb83,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,2,0.0,0,0,0,0.0,2022-09-24,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
38,6375cc3c60288c7c1181fb82,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,2,0.0,0,0,0,0.0,2022-10-08,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
39,6375cc3c60288c7c1181fb71,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,3,0.0,0,0,0,0.0,2022-09-22,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
40,6375cc3c60288c7c1181fb7e,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,2,0.0,0,0,0,0.0,2022-09-23,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
41,6375cc3c60288c7c1181fb72,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,8,0.0,0,0,0,0.0,2022-10-04,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
42,6375cc3c60288c7c1181fc82,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,0,0.0,0,0,0,0.0,2022-10-12,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
43,6375cc3c60288c7c1181fc81,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,4,0.0,0,0,0,0.0,2022-10-11,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
