,_id,profileId,adGroupName,adGroupId,adStatus,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,price
0,63ac1afbcd96335084a5596e,3932195223562143,bbm,209913959443745,ENABLED,4,532,3.71,0,0,0,0.0,2022-10-03,0,0,0.0
1,63ac1afbcd96335084a5596a,3932195223562143,bbm,209913959443745,ENABLED,3,436,2.89,0,0,0,0.0,2022-09-29,0,0,0.0
2,63ac1afbcd96335084a5596b,3932195223562143,bbm,209913959443745,ENABLED,7,452,6.33,0,0,0,0.0,2022-09-30,0,0,0.0
3,63ac1afbcd96335084a5596d,3932195223562143,bbm,209913959443745,ENABLED,7,767,5.47,1,1,1,15.94,2022-10-02,0,1,15.94
4,63ac1afbcd96335084a5596c,3932195223562143,bbm,209913959443745,ENABLED,8,507,7.03,0,0,0,0.0,2022-10-01,0,0,0.0
5,63ac1afbcd96335084a55971,3932195223562143,bbm,209913959443745,ENABLED,2,214,1.64,0,0,0,0.0,2022-10-06,0,0,0.0
6,63ac1afbcd96335084a55972,3932195223562143,bbm,209913959443745,ENABLED,6,202,4.92,0,0,0,0.0,2022-10-07,0,0,0.0
7,63ac1afbcd96335084a55973,3932195223562143,bbm,209913959443745,ENABLED,5,255,3.87,1,1,1,15.94,2022-10-08,0,1,15.94
8,63ac1afbcd96335084a55974,3932195223562143,bbm,209913959443745,ENABLED,2,294,1.64,0,0,0,0.0,2022-10-09,0,0,0.0
9,63ac1afbcd96335084a55975,3932195223562143,bbm,209913959443745,ENABLED,0,393,0.0,0,0,0,0.0,2022-10-10,0,0,0.0
10,63ac1afbcd96335084a55976,3932195223562143,bbm,209913959443745,ENABLED,6,570,5.82,0,0,0,0.0,2022-10-11,0,0,0.0
11,63ac1afbcd96335084a55977,3932195223562143,bbm,209913959443745,ENABLED,3,730,2.72,0,0,0,0.0,2022-10-12,0,0,0.0
12,63ac1afbcd96335084a55978,3932195223562143,bbm,209913959443745,ENABLED,3,445,2.69,0,0,0,0.0,2022-10-13,0,0,0.0
13,63ac1afbcd96335084a55979,3932195223562143,bbm,209913959443745,ENABLED,3,379,2.63,2,2,2,31.88,2022-10-14,0,2,15.94
14,63ac1afbcd96335084a5597a,3932195223562143,bbm,209913959443745,ENABLED,1,451,0.91,0,0,0,0.0,2022-10-15,0,0,0.0
15,63ac1afbcd96335084a5597b,3932195223562143,bbm,209913959443745,ENABLED,2,518,1.82,0,0,0,0.0,2022-10-16,0,0,0.0
16,63ac1afbcd96335084a5597c,3932195223562143,bbm,209913959443745,ENABLED,0,431,0.0,0,0,0,0.0,2022-10-17,0,0,0.0
17,63ac1afbcd96335084a5597d,3932195223562143,bbm,209913959443745,ENABLED,0,370,0.0,0,0,0,0.0,2022-10-18,0,0,0.0
18,63ac1afbcd96335084a5597e,3932195223562143,bbm,209913959443745,ENABLED,1,147,0.73,0,0,0,0.0,2022-10-19,0,0,0.0
19,63ac1afbcd96335084a5597f,3932195223562143,bbm,209913959443745,ENABLED,0,144,0.0,0,0,0,0.0,2022-10-20,0,0,0.0
20,63ac1afbcd96335084a55980,3932195223562143,bbm,209913959443745,ENABLED,0,112,0.0,0,0,0,0.0,2022-10-21,0,0,0.0
21,63ac1afbcd96335084a55981,3932195223562143,bbm,209913959443745,ENABLED,0,97,0.0,0,0,0,0.0,2022-10-22,0,0,0.0
22,63ac1afbcd96335084a55982,3932195223562143,bbm,209913959443745,ENABLED,1,91,0.73,0,0,0,0.0,2022-10-23,0,0,0.0
23,63ac1afbcd96335084a55984,3932195223562143,bbm,209913959443745,ENABLED,0,115,0.0,0,0,0,0.0,2022-10-25,0,0,0.0
24,63ac1afbcd96335084a55983,3932195223562143,bbm,209913959443745,ENABLED,1,90,0.73,0,0,0,0.0,2022-10-24,0,0,0.0
25,63ac1afbcd96335084a55985,3932195223562143,bbm,209913959443745,ENABLED,3,119,1.73,1,1,1,15.94,2022-10-26,0,1,15.94
26,63ac1afbcd96335084a55986,3932195223562143,bbm,209913959443745,ENABLED,0,136,0.0,0,0,0,0.0,2022-10-27,0,0,0.0
27,63ac1afbcd96335084a55987,3932195223562143,bbm,209913959443745,ENABLED,0,126,0.0,0,0,0,0.0,2022-10-28,0,0,0.0
28,63ac1afbcd96335084a55988,3932195223562143,bbm,209913959443745,ENABLED,0,155,0.0,0,0,0,0.0,2022-10-29,0,0,0.0
29,63ac1afbcd96335084a55989,3932195223562143,bbm,209913959443745,ENABLED,1,165,0.68,0,0,0,0.0,2022-10-30,0,0,0.0
30,63ac1afbcd96335084a5596f,3932195223562143,bbm,209913959443745,ENABLED,0,546,0.0,0,0,0,0.0,2022-10-04,0,0,0.0
31,63ac1afbcd96335084a55970,3932195223562143,bbm,209913959443745,ENABLED,0,252,0.0,0,0,0,0.0,2022-10-05,0,0,0.0
32,63ac1afbcd96335084a5598c,3932195223562143,bbm,209913959443745,ENABLED,1,145,0.77,2,2,2,31.88,2022-11-02,0,2,15.94
33,63ac1afbcd96335084a5598d,3932195223562143,bbm,209913959443745,ENABLED,0,85,0.0,0,0,0,0.0,2022-11-03,0,0,0.0
34,63ac1afbcd96335084a5598e,3932195223562143,bbm,209913959443745,ENABLED,2,130,2.31,0,0,0,0.0,2022-11-04,0,0,0.0
35,63ac1afbcd96335084a5598f,3932195223562143,bbm,209913959443745,ENABLED,2,187,1.9,0,0,0,0.0,2022-11-05,0,0,0.0
36,63ac1afbcd96335084a55990,3932195223562143,bbm,209913959443745,ENABLED,0,276,0.0,0,0,0,0.0,2022-11-06,0,0,0.0
