,_id,keywordId,adGroupId,campaignId,profileId,targeting,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,sales,campaignName,adGroupName,matchType,CR,x_prior,x_post ,Date,Leave,campaignType,conv_value,clicks_filter,cost_filter,avg_cpc,bid,slope,target_acos,update_bid,new_bid,optimizing
0,639bbe6007c1047fb99569d2,73432356024127,116068933213320,220782691721278,3932195223562143,arthritis gloves women,0,90,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - KW - MIX - Discovery,gloves,phrase,0.0681998199026168,0.0681998199026168,0.06566777136752812,2022-12-14,47.0,sponsoredProducts,15.7,36,27.35,0.7597222222222223,0.79,0.5964225410316804,0.7,1.2566862738508509,0.9875,False
1,639bbe6007c1047fb99569ef,148061727898141,29133953995410,11562017053024,3932195223562143,magnetic gloves,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,phrase,0.03533454777438943,0.03533454777438943,0.03443632209844941,2022-12-14,29.0,sponsoredProducts,15.7,2,0.2,0.1,0.1,0.5964225410316804,0.7,0.6510932322725759,0.125,False
2,639bbe6007c1047fb9956a15,66682785844999,191635452519815,72730925523210,3932195223562143,copper hands,0,7,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Cerebro - Broad,Cerebro - Broad,broad,0.19877183237329302,0.19877183237329302,0.18831670308794726,2022-12-14,20.0,sponsoredProducts,15.7,14,6.67,0.4764285714285714,0.47,0.5964225410316804,0.7,3.662675850587034,0.5874999999999999,False
3,639bbe6007c1047fb99569df,176411330251137,101115749301139,16297002239515,3932195223562143,finger support arthritis,0,0,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - manual,broad,broad,0.13143699214206195,0.13143699214206195,0.1307475266364331,2022-12-14,52.0,sponsoredProducts,15.7,32,24.869999999999997,0.7771874999999999,0.5,0.5964225410316804,0.7,2.421928153725721,0.625,False
4,639bbe6007c1047fb99569e7,102747285958228,186714011940738,193502141195270,3932195223562143,fititude compression gloves,0,456,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Exact - Brand Defense Keywords - GS,Gloves - SP - Exact - Brand Defense Keywords - GS,exact,0.5541086699609992,0.5541086699609992,0.5586865324326579,2022-12-14,37.0,sponsoredProducts,15.7,14,18.589999999999996,1.3278571428571426,7.26,1.0,0.7,6.08965428287138,6.08965428287138,False
5,639bbe6007c1047fb9956a3c,29732887250388,72544142742258,96074406077867,3932195223562143,compression wrist support,0,3,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Brace - SP - Broad - Generic - GS,Generic Keywords,broad,0.18863733695832796,0.18863733695832796,0.15073393759303183,2022-12-14,1.0,sponsoredProducts,15.7,23,17.55,0.7630434782608696,0.56,0.5964225410316804,0.7,3.4759322301701965,0.7000000000000001,False
6,639bbe6007c1047fb9956a44,194228355023134,209913959443745,88655178633111,3932195223562143,+tendonitis +wrist,0,0,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Brace - SP - BBM,bbm,broad,0.07743385223071327,0.07743385223071327,0.07451478292836532,2022-12-14,4.0,sponsoredProducts,15.7,7,7.67,1.0957142857142856,0.5,1.0,0.7,0.8509980360155387,0.625,False
7,639bbe6007c1047fb9956a3f,26737364169510,239919069392894,209723663620297,3932195223562143,tendonitis,0,17,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Brace - SP - Broad - Injury KW - GS,Tendinitis,broad,0.03533454777438943,0.03533454777438943,0.03443632209844941,2022-12-14,29.0,sponsoredProducts,15.7,2,1.62,0.81,0.73,1.0,0.7,0.3883266800405398,0.584,False
8,639bbe6007c1047fb99569ff,106055307944900,137148697360324,180552945709583,3932195223562143,guantes para artritis para mujer,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Cerebro - Amazons Choice - Exact,Gloves - SP - Cerebro - Amazons Choice - Exact,exact,0.03533454777438943,0.03533454777438943,0.03443632209844941,2022-12-14,29.0,sponsoredProducts,15.7,1,0.83,0.83,0.41,1.0,0.7,0.3883266800405398,0.3883266800405398,False
9,639bbe6007c1047fb99569f5,4039071857924,83203090092284,26927836851662,3932195223562143,arthritis gloves,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,phrase,0.09081609518992283,0.09081609518992283,0.09111726316619483,2022-12-14,14.0,sponsoredProducts,15.7,6,3.51,0.585,0.39,0.5964225410316804,0.7,1.6734258306381433,0.48750000000000004,False
