,_id,keywordId,adGroupId,campaignId,profileId,targeting,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,sales,campaignName,adGroupName,matchType,CR,x_prior,x_post ,Date,Leave,campaignType,conv_value,clicks_filter,cost_filter,avg_cpc,bid,slope,target_acos,update_bid,new_bid,state,optimizing
0,63b76de084277b7289bcc965,109339334800374,72544142742258,96074406077867,3932195223562143,wrist injury brace,0,1,0.0,0,0,0,0.0,2023-01-05,0,0,0.0,Brace - SP - Broad - Generic - GS,Generic Keywords,broad,0.06507074699321118,0.06507074699321118,0.0933307957653458,2023-01-04,90.0,sponsoredProducts,16.30345864661654,141,119.78,0.8495035460992908,0.88,0.7929113571275201,0.3,0.4013859392372091,0.704,enabled,True
1,63b76de084277b7289bcc8e3,55971791719445,116068933213320,220782691721278,3932195223562143,compression gloves women,0,1,0.0,0,0,0,0.0,2023-01-05,0,0,0.0,Gloves - SP - KW - MIX - Discovery,gloves,phrase,0.08162806453641831,0.08162806453641831,0.0816564921409326,2023-01-04,24.0,sponsoredProducts,16.30345864661654,148,116.89000000000001,0.7897972972972974,0.74,0.7929113571275201,0.3,0.5035189984138969,0.592,enabled,True
2,63b76de084277b7289bcc8c8,113668181492573,122122685224177,16297002239515,3932195223562143,muñequeras para dolor de manos,0,0,0.0,0,0,0,0.0,2023-01-05,0,0,0.0,Gloves - SP - manual,pain,broad,,,,,,sponsoredProducts,16.30345864661654,170,124.89000000000001,0.7346470588235295,0.48,0.7929113571275201,0.3,,,enabled,True
3,63b76de084277b7289bcc8f3,159993577479343,29133953995410,11562017053024,3932195223562143,copper fit wrist,0,0,0.0,0,0,0,0.0,2023-01-05,0,0,0.0,Catch all grouped,gloves,phrase,,,,,,sponsoredProducts,16.30345864661654,7,0.53,0.07571428571428572,0.18,0.7929113571275201,0.3,,,enabled,True
4,63b76de084277b7289bcc949,231531387576642,191635452519815,72730925523210,3932195223562143,compression sock gloves,0,1,0.0,0,0,0,0.0,2023-01-05,0,0,0.0,Gloves - SP - Cerebro - Broad,Cerebro - Broad,broad,,,,,,sponsoredProducts,16.30345864661654,184,108.37,0.5889673913043478,0.48,0.7929113571275201,0.3,,,enabled,True
5,63b76de084277b7289bcc91b,281185923319656,137148697360324,180552945709583,3932195223562143,compression gloves for women,0,126,0.0,0,0,0,0.0,2023-01-05,0,0,0.0,Gloves - SP - Cerebro - Amazons Choice - Exact,Gloves - SP - Cerebro - Amazons Choice - Exact,exact,0.11616385641007558,0.11616385641007558,0.1160496967879339,2023-01-04,41.0,sponsoredProducts,16.30345864661654,20,13.56,0.678,0.68,1.0,0.3,0.5681617887639506,0.5681617887639506,enabled,True
6,63b76de084277b7289bcc972,153064509728547,209913959443745,88655178633111,3932195223562143,+tendinitis +wrist,0,3,0.0,0,0,0,0.0,2023-01-05,0,0,0.0,Brace - SP - BBM,bbm,broad,0.09422244701880886,0.09422244701880886,0.09426054831536385,2023-01-04,30.0,sponsoredProducts,16.30345864661654,35,31.99,0.9139999999999999,0.5,1.0,0.3,0.46084553056625044,0.46084553056625044,enabled,True
7,63b76de084277b7289bcc975,148542062853645,83203090092284,26927836851662,3932195223562143,arthriti pain,0,1,0.0,0,0,0,0.0,2023-01-05,0,0,0.0,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,phrase,0.16578399813357375,0.16578399813357375,0.16580307838243422,2023-01-04,22.0,sponsoredProducts,16.30345864661654,36,19.0,0.5277777777777778,0.44,0.7929113571275201,0.3,1.0226310419993594,0.55,enabled,True
8,63b76de084277b7289bcc8ca,233606426255962,129488449002190,207872261152096,3932195223562143,gloves for swelling,0,5,0.0,0,0,0,0.0,2023-01-05,0,0,0.0,Gloves - SP - Top Keywords,Top Keywords,phrase,0.1625076453557219,0.1625076453557219,0.16064296779294798,2023-01-04,112.0,sponsoredProducts,16.30345864661654,16,16.57,1.035625,0.73,1.0,0.3,0.7948310027448116,0.7948310027448116,enabled,True
9,63b76de084277b7289bcc8ee,178264115781558,186714011940738,193502141195270,3932195223562143,fititude compression gloves,0,1,0.0,0,0,0,0.0,2023-01-05,0,0,0.0,Gloves - SP - Exact - Brand Defense Keywords - GS,Gloves - SP - Exact - Brand Defense Keywords - GS,broad,0.5514086237145325,0.5514086237145325,0.5506597201317227,2023-01-04,75.0,sponsoredProducts,16.30345864661654,24,23.970000000000002,0.9987500000000001,5.38,1.0,0.3,2.696960308235286,4.304,enabled,True
