,_id,keywordId,adGroupId,campaignId,profileId,targeting,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,sales,campaignName,adGroupName,matchType,CR,x_prior,x_post ,Date,Leave,campaignType,conv_value,avg_cpc,bid,slope
16,63882d10ea239eac10b481e9,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,2,0.0,0,0,0,0.0,2022-10-14,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
17,63882d10ea239eac10b481ea,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-10-16,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
18,63882d10ea239eac10b482f5,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-11-01,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
19,63882d10ea239eac10b482f4,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,0,0.0,0,0,0,0.0,2022-10-31,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
20,63882d10ea239eac10b48380,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-11-02,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
21,63882d10ea239eac10b48381,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,2,0.0,0,0,0,0.0,2022-11-04,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
22,63882d10ea239eac10b48382,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-11-10,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
23,63882d10ea239eac10b48383,184163890954191,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-11-11,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
24,63882d10ea239eac10b48049,14251611097054,24730201331739,177256716723814,3932195223562143,night wrist brace,0,1,0.0,0,0,0,0.0,2022-09-17,0,0,0.0,Brace - SP - Competitor manual,brace,phrase,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
25,63882d10ea239eac10b48162,135462690114656,24730201331739,177256716723814,3932195223562143,night wrist support,0,0,0.0,0,0,0,0.0,2022-09-26,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
