,_id,keywordId,adGroupId,campaignId,profileId,targeting,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,sales,campaignName,adGroupName,matchType,CR,x_prior,x_post ,Date,Leave,campaignType,conv_value,clicks_filter,cost_filter,avg_cpc,bid,slope,target_acos,update_bid,new_bid
847,639bbe6007c1047fb99569d2,73432356024127,116068933213320,220782691721278,3932195223562143,arthritis gloves women,0,90,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - KW - MIX - Discovery,gloves,phrase,0.08887283572288748,0.08887283572288748,0.08537882758647249,2022-12-14,53.0,sponsoredProducts,15.7,36,27.35,0.7597222222222223,0.79,0.5964225410316804,0.7,1.637618294749616,0.9875
652,639bbe6007c1047fb99569ef,148061727898141,29133953995410,11562017053024,3932195223562143,magnetic gloves,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,phrase,0.14437529690143144,0.14437529690143144,0.14165388183415722,2022-12-14,29.0,sponsoredProducts,15.7,2,0.2,0.1,0.1,0.5964225410316804,0.7,2.6603362612722763,0.125
629,639bbe6007c1047fb99569c7,215204220772839,29133953995410,11562017053024,3932195223562143,wrist support,0,0,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,phrase,0.14437529690143144,0.14437529690143144,0.14165388183415722,2022-12-14,29.0,sponsoredProducts,15.7,2,0.2,0.1,0.1,0.5964225410316804,0.7,2.6603362612722763,0.125
1501,639bbe6007c1047fb9956a15,66682785844999,191635452519815,72730925523210,3932195223562143,copper hands,0,7,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Cerebro - Broad,Cerebro - Broad,broad,0.15903375344952844,0.15903375344952844,0.1548359028140205,2022-12-14,20.0,sponsoredProducts,15.7,14,6.67,0.4764285714285714,0.47,0.5964225410316804,0.7,2.930440803573653,0.5874999999999999
637,639bbe6007c1047fb99569c9,61586894511447,29133953995410,11562017053024,3932195223562143,arthritis,0,0,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,phrase,0.14437529690143144,0.14437529690143144,0.14165388183415722,2022-12-14,29.0,sponsoredProducts,15.7,2,0.2,0.1,0.07,0.5964225410316804,0.7,2.6603362612722763,0.08750000000000001
1509,639bbe6007c1047fb9956a17,258731008176960,191635452519815,72730925523210,3932195223562143,compression glove,0,41,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Cerebro - Broad,Cerebro - Broad,broad,0.15903375344952844,0.15903375344952844,0.1548359028140205,2022-12-14,20.0,sponsoredProducts,15.7,14,6.67,0.4764285714285714,0.48,0.5964225410316804,0.7,2.930440803573653,0.6
1511,639bbe6007c1047fb9956a22,276579767594383,191635452519815,72730925523210,3932195223562143,copper fit compression gloves women,0,0,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Cerebro - Broad,Cerebro - Broad,broad,0.15903375344952844,0.15903375344952844,0.1548359028140205,2022-12-14,20.0,sponsoredProducts,15.7,14,6.67,0.4764285714285714,0.35,0.5964225410316804,0.7,2.930440803573653,0.4375
640,639bbe6007c1047fb99569dc,16869559708702,29133953995410,11562017053024,3932195223562143,tremor relief,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,broad,0.14437529690143144,0.14437529690143144,0.14165388183415722,2022-12-14,29.0,sponsoredProducts,15.7,2,0.2,0.1,0.1,0.5964225410316804,0.7,2.6603362612722763,0.125
134,639bbe6007c1047fb99569df,176411330251137,101115749301139,16297002239515,3932195223562143,finger support arthritis,0,0,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - manual,broad,broad,0.27118680979317866,0.27118680979317866,0.25895661411087884,2022-12-14,44.0,sponsoredProducts,15.7,32,24.869999999999997,0.7771874999999999,0.5,0.5964225410316804,0.7,4.997032866114839,0.625
648,639bbe6007c1047fb99569cb,28670008677577,29133953995410,11562017053024,3932195223562143,half finger gloves,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,phrase,0.14437529690143144,0.14437529690143144,0.14165388183415722,2022-12-14,29.0,sponsoredProducts,15.7,2,0.2,0.1,0.14,0.5964225410316804,0.7,2.6603362612722763,0.17500000000000002
