,_id,keywordId,adGroupId,campaignId,profileId,targeting,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,sales,campaignName,adGroupName,matchType,CR,x_prior,x_post ,Date,Leave,campaignType,conv_value,clicks_filter,cost_filter,avg_cpc,bid
892,63991b6007c1047fb994f83a,40154797856675,29133953995410,11562017053024,3932195223562143,fingerless gloves,0,2,0.0,0,0,0,0.0,2022-12-13,0,0,0.0,Catch all grouped,gloves,broad,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,2,0.2,0.1,0.1
896,639526e007c1047fb9944e3b,28670008677577,29133953995410,11562017053024,3932195223562143,half finger gloves,0,1,0.0,0,0,0,0.0,2022-12-10,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,1,0.1,0.1,0.14
897,6396786007c1047fb99486d7,28670008677577,29133953995410,11562017053024,3932195223562143,half finger gloves,0,0,0.0,0,0,0,0.0,2022-12-11,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,1,0.1,0.1,0.14
898,6397c9e007c1047fb994bf6b,28670008677577,29133953995410,11562017053024,3932195223562143,half finger gloves,0,0,0.0,0,0,0,0.0,2022-12-12,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,1,0.1,0.1,0.14
899,63991b6007c1047fb994f83c,28670008677577,29133953995410,11562017053024,3932195223562143,half finger gloves,0,1,0.0,0,0,0,0.0,2022-12-13,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,2,0.2,0.1,0.14
900,639bbe6007c1047fb99569cb,28670008677577,29133953995410,11562017053024,3932195223562143,half finger gloves,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,2,0.2,0.1,0.14
903,639526e007c1047fb9944e4d,252150989157677,29133953995410,11562017053024,3932195223562143,compression gloves arthritis,0,0,0.0,0,0,0,0.0,2022-12-10,0,0,0.0,Catch all grouped,gloves,broad,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,1,0.1,0.1,0.14
905,6396786007c1047fb99486ec,154544483200285,29133953995410,11562017053024,3932195223562143,thumb glove,0,1,0.0,0,0,0,0.0,2022-12-11,0,0,0.0,Catch all grouped,gloves,broad,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,1,0.1,0.1,0.1
908,639a6ce007c1047fb9953133,148061727898141,29133953995410,11562017053024,3932195223562143,magnetic gloves,0,1,0.0,0,0,0,0.0,2022-12-14,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,2,0.2,0.1,0.1
909,639bbe6007c1047fb99569ef,148061727898141,29133953995410,11562017053024,3932195223562143,magnetic gloves,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,2,0.2,0.1,0.1
911,6397c9e007c1047fb994bf66,19009110441991,29133953995410,11562017053024,3932195223562143,wrist compression,0,0,0.0,0,0,0,0.0,2022-12-12,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,1,0.1,0.1,0.1
912,63991b6007c1047fb994f837,19009110441991,29133953995410,11562017053024,3932195223562143,wrist compression,0,0,0.0,0,0,0,0.0,2022-12-13,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,2,0.2,0.1,0.1
915,63991b6007c1047fb994f85f,93268669840661,29133953995410,11562017053024,3932195223562143,stroke gloves right hand,0,0,0.0,0,0,0,0.0,2022-12-13,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,2,0.2,0.1,0.14
916,639bbe6007c1047fb99569f1,93268669840661,29133953995410,11562017053024,3932195223562143,stroke gloves right hand,0,3,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,2,0.2,0.1,0.14
917,639526e007c1047fb9944e36,152292372441355,29133953995410,11562017053024,3932195223562143,hand brace,0,0,0.0,0,0,0,0.0,2022-12-10,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,1,0.1,0.1,0.1
918,63991b6007c1047fb994f836,152292372441355,29133953995410,11562017053024,3932195223562143,hand brace,0,1,0.0,0,0,0,0.0,2022-12-13,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,2,0.2,0.1,0.1
919,639bbe6007c1047fb99569c8,152292372441355,29133953995410,11562017053024,3932195223562143,hand brace,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,2,0.2,0.1,0.1
920,639526e007c1047fb9944e37,87707027552351,29133953995410,11562017053024,3932195223562143,fingerless gloves women,0,1,0.0,0,0,0,0.0,2022-12-10,0,0,0.0,Catch all grouped,gloves,phrase,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,1,0.1,0.1,0.14
921,639526e007c1047fb9944e47,225813222390736,29133953995410,11562017053024,3932195223562143,hand pain,0,1,0.0,0,0,0,0.0,2022-12-10,0,0,0.0,Catch all grouped,gloves,broad,0.08233534644348325,0.08233534644348325,0.08171220410392017,2022-12-14,46.0,sponsoredProducts,15.7,1,0.1,0.1,0.1
